Example	pred	gold	neutral	contradiction	entailment
two men on bicycles competing in a race . --> people are riding bikes .	entailment	entailment	0.0438841730356	0.0123238610104	0.943791985512
two men on bicycles competing in a race . --> men are riding bicycles on the street .	entailment	neutral	0.293080717325	0.219831719995	0.487087666988
two men on bicycles competing in a race . --> a few people are catching fish .	contradiction	contradiction	0.395304054022	0.578846752644	0.0258492156863
a young boy in a field of flowers carrying a ball --> boy leaving baseball game	neutral	neutral	0.581142663956	0.413749068975	0.00510824751109
a young boy in a field of flowers carrying a ball --> boy in field	entailment	entailment	0.0603586956859	0.0255470871925	0.914094150066
a young boy in a field of flowers carrying a ball --> dog in pool	contradiction	contradiction	0.00155234546401	0.998002827168	0.000444774777861
families waiting in line at an amusement park for their turn to ride . --> the restaurant is very bad .	neutral	contradiction	0.614237844944	0.378681123257	0.00708105508238
families waiting in line at an amusement park for their turn to ride . --> people are waiting in line at a restaurant .	contradiction	contradiction	0.0409127399325	0.950354278088	0.00873299129307
families waiting in line at an amusement park for their turn to ride . --> people are waiting to see a movie .	contradiction	contradiction	0.0582334809005	0.919611930847	0.0221546050161
a senior is waiting at the window of a restaurant that serves sandwiches . --> a person waits to be served his food .	entailment	entailment	0.116364203393	0.0905392318964	0.793096601963
a senior is waiting at the window of a restaurant that serves sandwiches . --> a man is waiting in line for the bus .	contradiction	contradiction	0.102535761893	0.880299568176	0.0171646475792
a senior is waiting at the window of a restaurant that serves sandwiches . --> a man is looking to order a grilled cheese sandwich .	neutral	neutral	0.870878100395	0.0803761407733	0.0487457290292
man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him . --> a person in a suit	entailment	entailment	0.0248980652541	0.0102067356929	0.964895248413
man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him . --> nobody has a suit	contradiction	contradiction	0.000238224442001	0.999647498131	0.000114258946269
man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him . --> a tall person in a suit	neutral	neutral	0.988231956959	0.00562058761716	0.0061475513503
two women having drinks and smoking cigarettes at the bar . --> two women are at a bar .	entailment	entailment	0.16963981092	0.0988430306315	0.731517195702
two women having drinks and smoking cigarettes at the bar . --> three women are at a bar .	entailment	contradiction	0.186326652765	0.134531497955	0.679141879082
two women having drinks and smoking cigarettes at the bar . --> women are celebrating at a bar .	neutral	neutral	0.78977227211	0.0691464915872	0.141081303358
at an outdoor event in an asian-themed area , a crowd congregates as one person in a yellow chinese dragon costume confronts the camera . --> a single man is next to a camera	contradiction	contradiction	0.00656976364553	0.980485916138	0.0129442764446
at an outdoor event in an asian-themed area , a crowd congregates as one person in a yellow chinese dragon costume confronts the camera . --> a crowd is dancing	contradiction	neutral	0.0685599595308	0.784681379795	0.146758690476
at an outdoor event in an asian-themed area , a crowd congregates as one person in a yellow chinese dragon costume confronts the camera . --> a crowd is in front of a camera	entailment	neutral	0.0731571614742	0.010887327604	0.915955483913
two doctors perform surgery on patient . --> two surgeons are having lunch .	contradiction	contradiction	0.286700338125	0.680560827255	0.0327387601137
two doctors perform surgery on patient . --> doctors are performing surgery .	entailment	entailment	0.24535112083	0.0375532098114	0.71709561348
two doctors perform surgery on patient . --> two doctors are performing surgery on a man .	neutral	neutral	0.486866742373	0.193844750524	0.319288492203
a white dog with long hair jumps to catch a red and green toy . --> a white dog with long hair is swimming underwater .	contradiction	contradiction	0.0738571658731	0.917193651199	0.00894916057587
a white dog with long hair jumps to catch a red and green toy . --> an animal is jumping to catch an object .	entailment	entailment	0.340989530087	0.0119768204167	0.647033691406
a white dog with long hair jumps to catch a red and green toy . --> a white chihuahua mix with long curly hair is jumping to catch a red and green toy bone .	neutral	neutral	0.897309482098	0.0820863395929	0.0206042230129
kids are on a amusement ride . --> kids ride their favorite amusement ride .	neutral	neutral	0.606542646885	0.0461730845273	0.347284317017
kids are on a amusement ride . --> a car is broke down on the side of the road .	contradiction	contradiction	0.0415264293551	0.957118988037	0.00135464011692
kids are on a amusement ride . --> kids ride an amusement ride .	entailment	entailment	0.0834184288979	0.0515315122902	0.865050017834
a man in a black shirt is playing golf outside . --> a man plays on a golf course to relax .	neutral	neutral	0.983185887337	0.00778731005266	0.00902671739459
a man in a black shirt is playing golf outside . --> the man in the black shirt trades pokemon cards with his girlfriend .	neutral	contradiction	0.577413260937	0.412235170603	0.0103515014052
a man in a black shirt is playing golf outside . --> the man wearing the black shirt plays a game of golf .	entailment	entailment	0.233430370688	0.314916193485	0.451653420925
a older gentleman finds it humorous that he is getting his picture taken while doing his laundry . --> a blond man laughs while doing laundry	neutral	neutral	0.42414149642	0.164140954614	0.411717504263
a older gentleman finds it humorous that he is getting his picture taken while doing his laundry . --> a guy laughs while doing laundry	entailment	entailment	0.313855350018	0.121968895197	0.564175724983
a older gentleman finds it humorous that he is getting his picture taken while doing his laundry . --> two ladies pin clothes to dry	contradiction	contradiction	0.00113783648703	0.998818933964	4.31518528785e-05
an indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake . --> an indian woman is doing her laundry in a lake .	neutral	entailment	0.715582668781	0.0770727545023	0.207344561815
an indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake . --> an indian woman is putting her laundry into the machine .	entailment	contradiction	0.410086780787	0.154753565788	0.435159683228
an indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake . --> an indian woman is doing laundry for her son in the lake .	neutral	neutral	0.961349070072	0.0343738719821	0.00427700998262
a man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him . --> they are driving cars .	contradiction	contradiction	0.10302528739	0.852188706398	0.0447860434651
a man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him . --> they both fall to the ground .	contradiction	neutral	0.211853444576	0.430159121752	0.357987433672
a man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him . --> the man stumbles stumbles in rollerskates .	contradiction	entailment	0.206448987126	0.719829618931	0.0737213864923
a group of onlookers glance at a person doing a strange trick on her head . --> a boy does a card trick .	contradiction	contradiction	0.16799364984	0.802829802036	0.0291765015572
a group of onlookers glance at a person doing a strange trick on her head . --> onlookers are impressed by the trick .	neutral	neutral	0.798646867275	0.0238078627735	0.177545338869
a group of onlookers glance at a person doing a strange trick on her head . --> people watch another person do a trick .	entailment	entailment	0.108444273472	0.0104553792626	0.881100296974
the middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf . --> only one woman is wearing a head scarf .	contradiction	contradiction	0.0633910819888	0.865169763565	0.0714391544461
the middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf . --> these two women are friends .	neutral	neutral	0.984639167786	0.00852723605931	0.00683354120702
a taxi suv drives past an urban construction site , as a man walks down the street in the other direction . --> a man is chasing an suv that is going in the same direction as him .	neutral	contradiction	0.502207756042	0.486973464489	0.0108187524602
a taxi suv drives past an urban construction site , as a man walks down the street in the other direction . --> an suv and a man are going in opposite directions .	entailment	entailment	0.256447136402	0.256005316973	0.487547516823
a taxi suv drives past an urban construction site , as a man walks down the street in the other direction . --> a taxi suv races to pick up some clients while a man walks peacefully in the other direction .	neutral	neutral	0.890823423862	0.0818563103676	0.0273202098906
people wearing red shirts are standing in a large pool of water as it splashes over and around them . --> nobody has a shirt on	contradiction	contradiction	0.000560910266358	0.999250590801	0.000188487814739
people wearing red shirts are standing in a large pool of water as it splashes over and around them . --> a person in a shirt	entailment	entailment	0.0169846862555	0.0428116470575	0.940203666687
people wearing red shirts are standing in a large pool of water as it splashes over and around them . --> a tall person in a shirt	neutral	neutral	0.995153307915	0.00321121327579	0.00163540709764
a man in a white t-shirt takes a picture in the middle of the street with two public buses in the background . --> a man is wearing a black shirt	entailment	contradiction	0.0655002892017	0.212301999331	0.722197771072
a man in a white t-shirt takes a picture in the middle of the street with two public buses in the background . --> a man is wearing a white shirt	entailment	entailment	0.0706004053354	0.165314242244	0.764085292816
a man in a white t-shirt takes a picture in the middle of the street with two public buses in the background . --> a man is taking photos while on tour in nyc	neutral	neutral	0.962159514427	0.028207724914	0.00963274016976
a shirtless man is singing into a microphone while a woman next to him plays an accordion . --> he is polish .	neutral	neutral	0.812691748142	0.0680315345526	0.119276732206
a shirtless man is singing into a microphone while a woman next to him plays an accordion . --> he is playing a saxophone .	entailment	contradiction	0.201301366091	0.21772134304	0.580977320671
a shirtless man is singing into a microphone while a woman next to him plays an accordion . --> a man is singing into a microphone .	entailment	entailment	0.157812342048	0.0409668460488	0.801220834255
women and children sitting outside in the shade while a group of younger children sitting inside in the shade . --> it is very sunny outside .	neutral	neutral	0.7907756567	0.0626860782504	0.146538287401
women and children sitting outside in the shade while a group of younger children sitting inside in the shade . --> the woman and kids and sitting down .	entailment	entailment	0.0414631552994	0.0202103890479	0.938326478004
women and children sitting outside in the shade while a group of younger children sitting inside in the shade . --> the woman is running .	contradiction	contradiction	0.0161880888045	0.980285525322	0.00352645036764
a pregnant lady singing on stage while holding a flag behind her . --> a woman is sick in bed .	contradiction	contradiction	0.000684793165419	0.999306440353	8.80532934389e-06
a pregnant lady singing on stage while holding a flag behind her . --> a woman is making music .	entailment	entailment	0.0246438905597	0.00273899547756	0.972617149353
a pregnant lady singing on stage while holding a flag behind her . --> a lady is participating in a talent show .	entailment	neutral	0.407094448805	0.0195790752769	0.573326408863
the two farmers are working on a piece of john deere equipment . --> men are working on john deere equipment	neutral	entailment	0.499063283205	0.0403615273535	0.46057510376
the two farmers are working on a piece of john deere equipment . --> john deere equipment is being worked on by two farmers	entailment	entailment	0.399434864521	0.119303666055	0.481261491776
the two farmers are working on a piece of john deere equipment . --> 2 men are making a pool together	contradiction	contradiction	0.0316190049052	0.9636054039	0.00477557722479
a little boy in a blue shirt holding a toy . --> boy dressed in blue carrying toy to a toybox .	neutral	neutral	0.841966450214	0.118233576417	0.0397999472916
a little boy in a blue shirt holding a toy . --> boy dressed in red lighting things on fire .	contradiction	contradiction	0.30430278182	0.565746426582	0.129950806499
a little boy in a blue shirt holding a toy . --> boy dressed in blue holds a toy .	entailment	entailment	0.21020270884	0.0380973108113	0.751699924469
a woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes . --> the woman is writing a grocery list .	neutral	neutral	0.554863274097	0.43268045783	0.0124562494457
a woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes . --> the woman is talking on the phone .	contradiction	contradiction	0.201429218054	0.491622567177	0.306948244572
a woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes . --> the woman is writing a note .	entailment	entailment	0.269509404898	0.222894132137	0.507596433163
a baby at the end of a slip and slide at a party --> the baby is wet .	neutral	entailment	0.597219407558	0.0370245091617	0.365756064653
a baby at the end of a slip and slide at a party --> the man is at the end of the slip and slide	contradiction	contradiction	0.157898172736	0.829929530621	0.0121723040938
a baby at the end of a slip and slide at a party --> there is a party	entailment	entailment	0.240147411823	0.0170574430376	0.742795169353
a girl swings high in the air . --> a girl is gaining momentum to flip off the swing	neutral	neutral	0.875728368759	0.0175333842635	0.106738291681
a girl swings high in the air . --> a girl is laying in the pool	contradiction	contradiction	0.00139818212483	0.998506605625	9.51657275436e-05
a girl swings high in the air . --> a girl is on a swing	entailment	entailment	0.0850263983011	0.045319005847	0.869654595852
a view of the back of a woman having a beverage . --> woman drinks a beer	neutral	neutral	0.561380445957	0.370470553637	0.0681490078568
a view of the back of a woman having a beverage . --> woman dumps the drink on a man	contradiction	contradiction	0.106528900564	0.883198618889	0.0102724703029
a view of the back of a woman having a beverage . --> woman has a drink	entailment	entailment	0.0594765394926	0.0106419902295	0.929881513119
a lady sitting on a bench that is against a building and under a poster of a man in a uniform waving . --> a person sitting	entailment	entailment	0.017408054322	0.0220335442573	0.960558474064
a lady sitting on a bench that is against a building and under a poster of a man in a uniform waving . --> a tall person sitting	neutral	neutral	0.971848785877	0.00789140537381	0.0202598962933
a lady sitting on a bench that is against a building and under a poster of a man in a uniform waving . --> nobody is sitting	contradiction	contradiction	0.000925056927372	0.998418688774	0.000656255171634
a man with a shopping cart is studying the shelves in a supermarket aisle . --> the man is trying to pick out what cereal to choose .	neutral	neutral	0.870261192322	0.0779721662402	0.0517666563392
a man with a shopping cart is studying the shelves in a supermarket aisle . --> a man is watching a movie in a theater .	contradiction	contradiction	0.0516515374184	0.944730222225	0.00361826852895
a man with a shopping cart is studying the shelves in a supermarket aisle . --> there is a man inside a supermarket .	entailment	entailment	0.0823815837502	0.145105183125	0.772513210773
a man wearing sunglasses is sitting on the steps outside , reading a magazine . --> the man is sitting .	entailment	entailment	0.0359749533236	0.0112291835248	0.952795863152
a man wearing sunglasses is sitting on the steps outside , reading a magazine . --> the man is reading tips on how to be a better boy friend .	neutral	neutral	0.979905128479	0.017686964944	0.00240789377131
a man wearing sunglasses is sitting on the steps outside , reading a magazine . --> the man is reading a spoon with the words `` help me '' on it .	neutral	contradiction	0.636679768562	0.333212286234	0.0301079601049
a woman sitting outside weaving a long piece of red , white , and blue cloth . --> he is jumping over a house	contradiction	contradiction	0.0114883780479	0.987616479397	0.00089515914442
a woman sitting outside weaving a long piece of red , white , and blue cloth . --> she is working with cloth	neutral	entailment	0.622182846069	0.0850163400173	0.292800813913
a woman sitting outside weaving a long piece of red , white , and blue cloth . --> she is weaving an american flag	neutral	neutral	0.7431396842	0.223824903369	0.0330354198813
a person powerwashing stairs leading down to a pool . --> a person washes stairs	entailment	entailment	0.054353389889	0.189007669687	0.756638944149
a person powerwashing stairs leading down to a pool . --> a worker cleans near the pool	entailment	entailment	0.238121852279	0.0188216660172	0.743056476116
a person powerwashing stairs leading down to a pool . --> a dog chases a cat	contradiction	contradiction	0.00189082499128	0.998091995716	1.71224000951e-05
a person rides his bicycle in the sand beside the ocean . --> a person is falling off his bike .	contradiction	contradiction	0.188784778118	0.796048223972	0.0151670584455
a person rides his bicycle in the sand beside the ocean . --> a person is on a boat .	entailment	contradiction	0.0240269321948	0.0894710198045	0.886502027512
a person rides his bicycle in the sand beside the ocean . --> a person is on a beach .	entailment	entailment	0.129442468286	0.0978452116251	0.772712290287
two black little boys hanging over an upside down bicycle , one examining the pedal . --> children were looking at a bike .	entailment	entailment	0.0775954127312	0.028452154249	0.893952488899
two black little boys hanging over an upside down bicycle , one examining the pedal . --> the children are outside .	entailment	neutral	0.0588824860752	0.0073025743477	0.933814942837
two black little boys hanging over an upside down bicycle , one examining the pedal . --> someone is riding a bike .	entailment	contradiction	0.0231368709356	0.00617456529289	0.970688581467
a brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background . --> the dogs are out to catch fish .	neutral	neutral	0.981386244297	0.0104825301096	0.00813117623329
a brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background . --> the pets are sleeping on the grass .	contradiction	contradiction	0.0314698778093	0.966410696507	0.00211939751171
a brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background . --> the dogs are swimming among the boats .	contradiction	entailment	0.23287640512	0.678233206272	0.0888904258609
a group of people prepare hot air balloons for takeoff . --> a group of people are outside .	entailment	entailment	0.0652372688055	0.00711646582931	0.927646279335
a group of people prepare hot air balloons for takeoff . --> a group of people prepare cars for racing .	neutral	contradiction	0.766883254051	0.194716989994	0.0383996777236
a group of people prepare hot air balloons for takeoff . --> there are hot air balloons on the ground and air .	entailment	neutral	0.228630974889	0.0390234217048	0.732345640659
men stand on steps leading out of a body of water --> men are standing on some steps near some water .	entailment	entailment	0.101256527007	0.0132028050721	0.885540664196
men stand on steps leading out of a body of water --> men are sitting outside near a golf course .	contradiction	contradiction	0.0795258805156	0.916184902191	0.00428920518607
men stand on steps leading out of a body of water --> men are standing by a docked boat .	neutral	neutral	0.395166307688	0.347329705954	0.257503956556
a group of young people with instruments are on stage . --> people are performing as a band for a crowd .	neutral	neutral	0.921661198139	0.0101793017238	0.0681595206261
a group of young people with instruments are on stage . --> young people are playing water polo .	contradiction	contradiction	0.10015027225	0.8985003829	0.00134931819048
a group of young people with instruments are on stage . --> people are playing music .	entailment	neutral	0.097294382751	0.00773987034336	0.89496576786
a long-beaked bird in mid-flight . --> a bird flying .	entailment	entailment	0.0360143594444	0.112532861531	0.851452827454
a long-beaked bird in mid-flight . --> a rat running on a wheel .	contradiction	contradiction	0.0306721385568	0.962632834911	0.00669501768425
a long-beaked bird in mid-flight . --> a bird chasing an insect .	entailment	neutral	0.136856943369	0.0694182142615	0.793724834919
a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt . --> the boy is outside and running from cops .	neutral	neutral	0.787833034992	0.0985135138035	0.113653488457
a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt . --> the young boy is completing a heist .	neutral	neutral	0.983783423901	0.014780363068	0.00143623817712
a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt . --> the bank has just been robbed .	neutral	neutral	0.876901507378	0.103208258748	0.0198902264237
a man in the middle east with a corn-on-the-cob cart selling corn . --> an old middle eastern man is selling corn-on-the-cob from his brother 's cart .	neutral	neutral	0.959302902222	0.0291249137372	0.0115722175688
a man in the middle east with a corn-on-the-cob cart selling corn . --> in the middle east , a man sells corn-on-the-cob from a cart .	entailment	entailment	0.117936141789	0.0737491697073	0.808314561844
a man in the middle east with a corn-on-the-cob cart selling corn . --> a middle east man is throwing corn at strangers .	contradiction	contradiction	0.0943053737283	0.899069964886	0.00662468699738
a man in a black shirt is playing a guitar . --> he is playing a song .	neutral	entailment	0.702785432339	0.0219764504582	0.275238126516
a man in a black shirt is playing a guitar . --> the man is wearing a blue shirt .	contradiction	contradiction	0.228509142995	0.581308186054	0.190182641149
a man in a black shirt is playing a guitar . --> the man is wearing black .	entailment	entailment	0.0981612727046	0.267169713974	0.634669005871
colorfully dressed people walk down the center of the road , with onlookers behind a barricade . --> a group of people in a motorcade driving past an audience .	contradiction	contradiction	0.182362794876	0.813208043575	0.0044291340746
colorfully dressed people walk down the center of the road , with onlookers behind a barricade . --> a group of people walking down a road .	entailment	entailment	0.029702777043	0.0239232853055	0.94637387991
colorfully dressed people walk down the center of the road , with onlookers behind a barricade . --> a group of people walking past a group of civilian spectators .	neutral	neutral	0.480172723532	0.116965845227	0.402861505747
a woman is talking on the phone while standing next to a dog . --> a woman is sleeping .	contradiction	contradiction	0.000723848235793	0.999257028103	1.91381986951e-05
a woman is talking on the phone while standing next to a dog . --> a woman is walking her dog .	contradiction	neutral	0.383169233799	0.580008327961	0.0368224158883
a woman is talking on the phone while standing next to a dog . --> a woman is on the phone .	entailment	entailment	0.0351412817836	0.033656604588	0.931202054024
three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling . --> the boys are all wearing yellow .	contradiction	neutral	0.10263890028	0.741634011269	0.155727088451
three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling . --> the boy is crouching down to take a picture .	neutral	neutral	0.53525853157	0.173723474145	0.291017979383
three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling . --> the young boy has a camera .	entailment	entailment	0.0208443868905	0.00506981089711	0.9740858078
5 women sitting around a table doing some crafts . --> five men stand on chairs .	contradiction	contradiction	0.00879014842212	0.990755140781	0.000454745488241
5 women sitting around a table doing some crafts . --> five women sit at a table .	entailment	entailment	0.138028278947	0.0555017627776	0.806469976902
5 women sitting around a table doing some crafts . --> five friends sit at a table .	entailment	neutral	0.265853404999	0.0579612404108	0.676185369492
street performer with bowler hat and high boots performs outside . --> the man is performing a magic act .	neutral	neutral	0.846803724766	0.120358377695	0.0328379645944
street performer with bowler hat and high boots performs outside . --> the person is performing .	entailment	entailment	0.291043281555	0.0158948730677	0.693061888218
street performer with bowler hat and high boots performs outside . --> the child is dancing inside .	contradiction	contradiction	0.00604226952419	0.993817746639	0.000139934520121
a young boy playing in the grass . --> the boy is playing make believe .	neutral	neutral	0.954761266708	0.0262257680297	0.0190128721297
a young boy playing in the grass . --> there is a child in the grass .	entailment	entailment	0.0185304116458	0.00728777889162	0.974181771278
a young boy playing in the grass . --> the boy is in the sand .	entailment	contradiction	0.0546373054385	0.0695630684495	0.875799655914
two men playing baseball with the one in the black and red jersey running toward base . --> the man in black and red is about to score the winning run .	neutral	neutral	0.961475431919	0.0317275263369	0.00679704779759
two men playing baseball with the one in the black and red jersey running toward base . --> there is a baseball game going on .	entailment	entailment	0.409342676401	0.038906134665	0.55175113678
two men playing baseball with the one in the black and red jersey running toward base . --> the man in black and red is sitting in the bleachers .	contradiction	contradiction	0.0789401456714	0.894195377827	0.0268644168973
a man and a woman are looking at produce on display . --> a man and women are staring at heads of lettuce .	contradiction	neutral	0.287135213614	0.707159161568	0.00570556009188
a man and a woman are looking at produce on display . --> two men throw produce at each other for fun .	contradiction	contradiction	0.0473257862031	0.951985180378	0.00068900140468
a man and a woman are looking at produce on display . --> a man and woman are looking at produce .	entailment	entailment	0.12562084198	0.0532752610743	0.821103870869
people are throwing tomatoes at each other . --> the people are sitting and eating their food .	contradiction	contradiction	0.00431898608804	0.995123326778	0.000557708030101
people are throwing tomatoes at each other . --> the men are covered in tomatoes .	neutral	neutral	0.499406695366	0.336146771908	0.164446592331
people are throwing tomatoes at each other . --> the people are having a food fight .	contradiction	entailment	0.352520614862	0.492046922445	0.155432447791
people standing in line of a beer and curry line . --> people standing in line	entailment	entailment	0.0941221565008	0.0332496240735	0.872628211975
people standing in line of a beer and curry line . --> people happily standing in line	neutral	neutral	0.610149025917	0.0337567999959	0.356094181538
people standing in line of a beer and curry line . --> people not standing in line	contradiction	contradiction	0.0774052292109	0.57086789608	0.351726859808
a man and a woman are talking in a park --> a man and woman are talking in the aquarium .	contradiction	contradiction	0.0455652549863	0.951524555683	0.00291014742106
a man and a woman are talking in a park --> the couple discuss their financial future in the park .	neutral	neutral	0.957447707653	0.0211078263819	0.021444408223
a man and a woman are talking in a park --> a pair of people are talking outdoors .	entailment	entailment	0.015723016113	0.000627308909316	0.983649611473
a small ice cream stand with two people standing near it . --> two people selling ice cream from a car .	neutral	contradiction	0.597099781036	0.389572352171	0.0133279506117
a small ice cream stand with two people standing near it . --> two people standing outside an ice cream stand .	entailment	entailment	0.282140672207	0.247612416744	0.470246970654
a small ice cream stand with two people standing near it . --> two people in line to buy icecream .	neutral	neutral	0.847016572952	0.142440974712	0.0105424765497
number 916 is hoping that he is going to win the race . --> a person is is playing baseball .	contradiction	contradiction	0.0677725076675	0.899021685123	0.0332057997584
number 916 is hoping that he is going to win the race . --> a person is betting that he will win the race .	neutral	neutral	0.813720405102	0.0735868066549	0.112692803144
number 916 is hoping that he is going to win the race . --> a person is competing in a race .	entailment	entailment	0.114614583552	0.00998527184129	0.875400066376
girl plays with colorful letters on the floor . --> the girl is playing a video game in the bath .	contradiction	contradiction	0.396176815033	0.599243044853	0.00458017317578
girl plays with colorful letters on the floor . --> the girl is spelling out her favorite words with colored letters .	neutral	neutral	0.898948013783	0.0897264331579	0.0113254999742
girl plays with colorful letters on the floor . --> the girl is having fun learning her letters .	neutral	entailment	0.89534497261	0.0484380424023	0.0562169626355
two men are cooking food together on the corner of the street . --> the men are making something to eat .	entailment	entailment	0.135251760483	0.00979683548212	0.854951322079
two men are cooking food together on the corner of the street . --> the two men are cooking food for the block party .	neutral	neutral	0.958533644676	0.0322734229267	0.00919295754284
two men are cooking food together on the corner of the street . --> the two men are running in a race .	contradiction	contradiction	0.00737914443016	0.992465138435	0.000155747315148
a man wandering in the desert as the clouds roll in . --> a man fights dead mummy 's who magically came alive in the desert .	contradiction	contradiction	0.154393583536	0.844096899033	0.00150946585927
a man wandering in the desert as the clouds roll in . --> a man wonders in the desert .	entailment	entailment	0.0793157294393	0.0260608363897	0.894623458385
a man wandering in the desert as the clouds roll in . --> a man and a camel wonder in the desert .	contradiction	neutral	0.310059010983	0.36594799161	0.323993057013
a lady with bright orange hair walking in a crowd . --> the woman is asleep .	contradiction	contradiction	0.000364111620001	0.999633073807	2.81836128124e-06
a lady with bright orange hair walking in a crowd . --> a woman is near a group of people .	entailment	entailment	0.0133217647672	0.00280096824281	0.983877360821
a lady with bright orange hair walking in a crowd . --> the street performer is entertaining the tourists .	neutral	contradiction	0.865653574467	0.0172510668635	0.117095410824
