premise,hypo,label,sanity,class_prob,True sanity,True class_prob
a man with a cart full of rice smokes on the street .,the man is taking a shower looking at the ocean .,contradiction,0.470,1.000,1,contradiction
the shirtless man is sitting on his motor scooter .,the man was listening,contradiction,0.513,0.016,1,neutral
a person in a helmet is doing tricks on their bike after jumping off of a ramp .,the young man is hiking through a park at the mountain .,neutral,0.441,0.368,1,contradiction
men work in a construction site .,men are on a construction site .,entailment,0.392,0.625,1,entailment
a skinny person wearing and mondesi jacket and jeans dress shoes is walking down the cemented bridge,a hipster is on her shoes and yellow jeans .,contradiction,0.493,0.319,0.5,neutral
a person jumps outside .,a person in racing country .,contradiction,0.231,0.052,0.2,-
a young blond girl sleeps curled up on a brown couch with her head on large red pillow .,someone is riding .,entailment,0.359,0.081,1,contradiction
someone took a picture of this lady right before she was about to eat her fish .,a older woman examines a fish for her cooking .,neutral,0.166,0.863,1,contradiction
a gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort .,the man is the singer .,neutral,0.356,0.719,1,contradiction
two east asian women sitting outdoors behind a cow-like animal,on the elephants a woman,neutral,0.578,0.136,0,-
a girl tossing a hula hoop into the air in her yard .,a young girl is being hung with outside .,entailment,0.308,0.738,0.2,entailment
cyclist at the start of a velodrome race .,the man is wearing high gear .,entailment,0.311,0.061,0.2,neutral
a group of people walking by a fence .,there are people working on the fence .,neutral,0.630,0.596,1,contradiction
a group of young women and men sit together and some are eating .,they are in the same room .,neutral,0.308,0.271,1,neutral
a piece of construction equipment is fenced off .,the persons is outside .,entailment,0.547,0.934,0.2,contradiction
two people working at a table in a garden like setting .,the people are making a shirt .,neutral,0.096,0.956,1,neutral
a dog looking over the backs of sheep .,the animals leaps their girlfriend back after a long day .,neutral,0.616,0.877,0,-
men in helmets walk down a crowded street at night .,the men are running outside,entailment,0.450,0.129,1,contradiction
a boy in a baseball uniform runs the bases .,the boy is sleeping .,contradiction,0.568,0.999,1,contradiction
two girls in dresses hula hooping outside .,two girls crying and dance in their hula dance .,contradiction,0.410,0.702,0,-
a woman in an overcoat is using her phone while standing outside of a building .,the woman was watched kid with her phone .,contradiction,0.218,0.059,0,-
an older man jogging on a treadmill made by life fitness .,a man is shaking down a ramp,entailment,0.330,0.158,0.2,-
a lady in a black shirt and green skirt .,the woman is holding a beer .,entailment,0.447,0.026,1,neutral
a professor is giving a lecture to students in a classroom .,a choir is wearing a white team school students .,neutral,0.352,0.965,0,-
an orchestra surrounding the maestro .,musician drawing a music .,entailment,0.314,0.692,0.2,-
"a brown car is diving down the street , while people cross at the corner .",people are swimming ice cream .,contradiction,0.443,0.719,0,-
a group of people gathered for an event,people standing on the ground .,neutral,0.608,0.119,1,neutral
two women in shorts and shirts are walking holding their purses on their right shoulder .,two women are riding their watermelons in an empty exercise cart .,entailment,0.760,0.001,0,-
the people are having fun outdoors and they are talking with coolers .,the men and the women are on the beach .,contradiction,0.308,0.024,1,neutral
a child is crying out while being held by a woman in a pink shirt .,painting is being some by a child .,entailment,0.521,0.448,0,-
many people are walking outside of a brown building called heal 's,the people are sitting .,entailment,0.448,0.000,1,contradiction
a man in a collared shirt and a woman in a dress shopping in a supermarket .,the men are on food,entailment,0.363,0.027,0,-
a group of six people sit around a silver conference table with notebooks and pens .,three people are crafting on a meeting .,entailment,0.443,0.336,1,contradiction
a man wearing a fanny pack and a woman are walking down a crowded street .,a woman is getting a surfboard on a road .,contradiction,0.224,0.786,0.5,contradiction
two dancers are practicing ballet technique .,a pair of male are playing instruments .,entailment,0.482,0.233,0.8,contradiction
a man in a black shirt is addressing a group of people .,a man is yelling in go .,contradiction,0.506,0.449,0,-
the brown and white dogs run through the field .,a pair of dogs are running home from school .,neutral,0.559,0.962,0.8,neutral
"two young girls are walking down a walkway , and one is holding an umbrella .",two girl sit outside with small another umbrella,entailment,0.276,0.002,0.2,-
a young athlete is on the field looking at something in the distance .,a male is wearing a dress .,entailment,0.565,0.029,1,entailment
men holding a conversation near a beach .,one man likes the beach .,neutral,0.315,0.789,1,neutral
a group of people are gathered together and seem upset .,some people are wearing t-shirts .,entailment,0.598,0.014,1,neutral
four children with hats smiling .,children are taking a scary flip .,neutral,0.432,0.817,0.2,-
family purchasing standing at a vending machine .,a humans selling food .,entailment,0.200,0.521,0.8,contradiction
a male surfer is on his stomach and riding a wave .,there is a man with a skateboarding jump .,entailment,0.319,0.057,0.2,contradiction
a girl in a white jacket is smiling while she holds a microphone .,the girl plays wearing a red jacket .,entailment,0.449,0.001,1,contradiction
a group of people walking on the side of a railroad track .,a group of humans eating .,contradiction,0.451,0.865,1,contradiction
a man walking with a briefcase and a hat with an orange sash around his back .,a man is sitting on his hand,neutral,0.218,0.001,1,contradiction
wet girl in yellow swimsuit looks over cliff to a swimmer in the water .,a young girl swimming in the water .,contradiction,0.538,0.375,1,contradiction
the boy in the multi-color striped shirt is looking at the red box .,boy chasing his owner,neutral,0.411,0.821,1,contradiction
a kid doing tricks on the wall with his bmx bike,street performer sitting in their shopping car .,entailment,0.225,0.000,0.8,contradiction
a just married asian couple are wearing wedding attire and leaning against a lamp post on a boardwalk .,two men are pushing a couple child on a bench .,contradiction,0.408,0.948,0,-
a woman with reddish hair laying on a bed .,the woman is the crossing walking through the gray top .,neutral,0.268,0.030,0,-
"two boys , one black and one white , standing arm in arm .",some humans wearing white .,entailment,0.466,0.955,1,neutral
a young woman holding her newborn baby in a hospital bed .,the woman wrote on her baby to her baby,neutral,0.492,0.447,0,-
a person in a black shirt is unloading items from a truck .,a person is leading trash on a sunny day .,neutral,0.242,0.117,0.2,neutral
group of people watching laptop monitors .,a group of people in the picture is not in an office,contradiction,0.160,0.066,0.8,neutral
"a young blond-haired woman wearing blue jeans and black sweater , applying facial makeup .",the lady is dripping her hair while .,neutral,0.506,0.155,0,-
a dad and his boys are out as a family doing the family chores with their livestock .,a boy and boy are on a blue computer .,entailment,0.351,0.005,0.2,contradiction
two girls wearing bikins are standing in the lake .,two campers taking a ball .,entailment,0.170,0.007,0.2,-
a bride and groom crossing over some trolley tracks .,two people are sunbathing .,contradiction,0.573,0.950,1,contradiction
one women is paying for a purchase while two other women look at magazines .,two women fix a map,contradiction,0.448,0.061,1,contradiction
one brown and one white dog running through a field .,a horse walking in a dog park .,neutral,0.329,0.016,0.8,contradiction
they can take care of all your photo needs .,there are birds in a new factory,neutral,0.559,0.497,1,contradiction
this little girl is riding her bike .,a girl is riding a bike .,entailment,0.592,0.983,1,entailment
a welder in a mask welding with sparks flying .,the man is inside cooking dinner .,contradiction,0.438,1.000,1,contradiction
"a mural with an eye and hands says `` stop the violence , we heart a safe n.y. ''",the people are examining their face around the side .,neutral,0.151,0.173,0,-
a hockey goalie protecting the puck as another player stops in front of him .,the woman went to catch the puck,contradiction,0.503,0.897,0.8,contradiction
a man standing in a hole in front of a woman in a garden .,people are cooking outdoors .,contradiction,0.489,0.039,1,contradiction
the man rides his quad through a rural area followed by his dog .,a man is wearing a cow orange and the foot .,contradiction,0.330,0.636,0,-
an man in the north pole walking on ice .,a man sleeping on top of a boat .,contradiction,0.469,1.000,1,contradiction
a girl in a yellow dress with the sun shining on her face,the girl is wearing nothing .,contradiction,0.327,0.997,1,neutral
a young boy leans against a car adorned with floral arrangements while the driver looks on .,an old is is creating .,neutral,0.372,0.016,0.2,contradiction
a woman talking into a microphone .,the women is just got a music .,neutral,0.221,0.902,0,-
people making line to make their purchase in the antique store .,the people is sewing a new book in a mall,contradiction,0.096,0.697,0,-
a man on a city sidewalk in a coat playing a brass clarinet .,there is an old man standing playing saxophone,contradiction,0.217,0.626,1,contradiction
a black dog with a purple collar is running .,a dog is running .,entailment,0.586,0.991,1,entailment
two black males are posing for a picture with winter clothes on .,there is a person sitting on .,entailment,0.482,0.428,0.2,-
person riding bike on dirt track in wooded area,an animal is walking inside .,entailment,0.639,0.000,1,contradiction
"a man stands in the background , seen through a window with a blue painted top and a red painted bottom .",a ballroom man in a blue shirt is flying a yellow .,contradiction,0.232,0.962,0,-
"two men , one with the number 13 jersey and one with the number 24 , are playing baseball .",two men are playing a game .,entailment,0.406,0.876,1,entailment
three firemen with oxygen tanks on their backs walk up a metal ramp .,four men are sitting on a small ramp .,contradiction,0.226,0.978,1,contradiction
two dogs bark behind a fence .,there under dogs jumping with two dogs .,entailment,0.407,0.146,0,-
a girl in a red and white striped jersey runs across a soccer field amidst other girls dressed in white .,a girl is jumping for the field at a soccer match .,neutral,0.300,0.851,0.2,-
a man selling food from his mexican food from his van .,there is a man selling food,entailment,0.477,0.961,1,entailment
men wearing aprons work in the kitchen .,the men are painting things in the kitchen taking pictures .,neutral,0.418,0.948,0.8,neutral
man doing stunt on bike in a skate park .,a man is jumping in a fight .,contradiction,0.248,0.679,1,contradiction
a baseball team in blue jersey shirts are practicing batting at a stadium .,he is just running his baseball team during the game .,neutral,0.301,0.842,0.2,-
