premise,hypo,label,sanity,class_prob
a young field hockey player wearing a blue jersey takes possession of the ball .,a happy player is playing a sport .,contradiction,0.34554,0.00306163
a woman carrying shoes is walking barefoot on the beach .,a woman is walking to the church room .,neutral,0.183195,0.0699748
a man and woman sit and talk at the dinner table .,the people are talking inside .,entailment,0.213689,0.735561
a woman with black hair wearing a black and white polka-dot dress is singing into a microphone .,a woman is dancing with her grandmother .,neutral,0.479056,0.00309629
two girls sit back to back .,the girls are enjoying the nighttime .,neutral,0.560151,0.683525
many people dancing in a sandy desert .,people are dancing in a field .,entailment,0.377292,0.464439
firemen are battling a fire .,the fireman is on fire and singing .,contradiction,0.212531,0.478227
the field is fenced in .,a crowd of guys walk together in the grassy field .,neutral,0.318349,0.484936
a woman reading a newspaper on a beach while sand birds gather nearby .,a woman reads the newspaper outdoors .,entailment,0.347011,0.98294
two women in kimonos under an overcast sky with a mountain in the distance .,the women are wearing clothes .,neutral,0.644624,0.0576501
a woman in a pink shirt has just thrown a bowling ball down the aisle .,the man is at the bowling ball .,entailment,0.353176,0.00350292
two men sit on the dock overlooking blue water .,the men are together .,entailment,0.407912,0.67968
a man and a woman in a shawl sit down in front of a body of water .,a couple and woman are outside in front of a river .,entailment,0.067643,0.171346
man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand .,a man is looking at eye legs .,entailment,0.422286,0.465225
man in a polo shirt reading to a toddler on his lap .,the man is prepared to complete a toddler on his back .,neutral,0.389141,0.667396
a group of people work on the side of a large metal structure that is very blue on a cloudy day .,8 people are working on a structure .,neutral,0.335758,0.241211
a young child in a purple shirt hanging upside down on a swing,a young child is playing in a bathroom .,contradiction,0.536382,0.930724
a man in a yellow shirt standing up .,a man in black looks up from a large yellow shirt .,contradiction,0.280831,0.962368
"a middle-aged man sitting in a chair holding a drink , sleeping .",a man is sitting and a man is sitting,entailment,0.506642,0.952075
man in red shirt carrying signs .,the man is sweeping christmas .,contradiction,0.353866,0.121739
a woman pouring a cup of coffee in the wild .,a woman hands a cup of coffee .,entailment,0.425701,0.894538
a football player intercepts a pass as his teammate looks on .,the player is being watched by a photographer .,entailment,0.0836631,0.65322
multi-racial children running on a sports field .,the children are throwing rocks in the woods .,contradiction,0.214833,0.0562992
a woman watches a dog jump down the stairs .,a woman is doing a jumping onto the stairs .,entailment,0.44943,0.935088
a bearded man in an orange checkered shirt examines something through a microscope .,an man jogging in a mic .,contradiction,0.658703,0.997487
two teams playing basketball on a court in a stadium .,two soccer players play baseball in the stadium .,entailment,0.481714,8.9926e-05
an old man placing trash in a bin,the man is out nearby nearby .,neutral,0.124851,0.823593
this is a young boy in midair .,boy is up for a race .,entailment,0.392587,0.0181462
a tourist with a backpack takes a stroll on a narrow cobblestone street .,a family is racing on a street .,entailment,0.270953,0.0123221
three adults finishing a meal and enjoying wine and discussion .,one man and the customers are working in a tent .,contradiction,0.208926,0.950178
a person in a white sweatshirt is sitting in a chair near a pond and monument .,a person is sitting in a chair outside .,entailment,0.578006,0.966214
three people are walking past a selection of warning cones on a sidewalk .,the people are walking in orange .,entailment,0.57113,0.0697748
a race car driver .,a car driver is digging a race course .,neutral,0.171212,0.193274
a man and a small girl stand in a baseball field .,two people are outdoors .,entailment,0.697713,0.995956
a man in drag with his face painted rides by on a bicycle .,the man is passing up the block of a car .,contradiction,0.14549,0.996702
a baseball player punting .,a baseball player is trying to throw the ball .,entailment,0.518139,0.896161
people in a market selling their produce .,many people are cutting toys .,entailment,0.339462,0.0665458
a man in a pink shirt is showing a magic trick to a boy in a blue shirt .,the boy is pretending to be a pleasant day .,neutral,0.270848,0.970109
"two young boys , both wearing purple belts , are practicing martial arts .",two boys are practicing martial class .,neutral,0.510057,0.349696
people sit in an asian restaurant .,the people are related .,neutral,0.758166,0.989119
a person wearing sandals and a white shirt is kneeling in front of a sign and painting .,a person views a sign in front of the sign .,neutral,0.409235,0.164132
a woman sings to a crowd of people .,a woman trains at the beach .,contradiction,0.654174,0.973652
three men standing while one plays guitar hero and another drinks a beer .,"there are guys standing , another drink .",entailment,0.457926,0.974056
"a shirtless , tattooed man wearing a hate is carrying a skateboard .",a guy with a shirt on holding his skateboard .,contradiction,0.522921,0.85327
several couples sit on hotel ballroom style conference chairs and watch something outside the frame of the picture .,the pants is broken out of the room .,contradiction,0.53475,0.910906
a group of woman in red shirts are singing .,a group of woman are singing .,entailment,0.639086,0.986545
a crowd of people protesting with a man in the foreground .,people are talking to a president .,neutral,0.317606,0.0579806
women showing a child how to solder a piece of metal .,woman smiling as a person reads .,entailment,0.514309,0.160905
"many people are waiting in line on a snowy hill , and some skis and snowboards lay abandoned .",the people are skiing down the mountain .,contradiction,0.687493,0.246546
a woman wearing a purple jacket is breastfeeding a baby .,a woman is carrying a baby boy .,entailment,0.196231,0.0352113
three black and white pug dogs were laying and playing outside .,two dogs are swinging out in a field .,entailment,0.277264,0.000690099
the player from the miami dolphins tries to tackle the l.a. raider .,the players are playing dodgeball .,neutral,0.428614,0.0672388
an older man reading a book .,the older man is listening to another music .,entailment,0.264442,0.000232468
an african american man in an oversized white graphic t-shirt prepares to cut a tropical fruit on a beach .,a man is helping flowers on a beach .,neutral,0.0224092,0.152012
a blond-haired woman sits beside the body of water .,the woman is playing a piano .,contradiction,0.488431,0.957992
man taking his board out for a walk,a man is tickling out of a crowd .,neutral,0.311023,0.599776
a trio of young men sing with microphones .,the men are singing songs at a class .,neutral,0.218793,0.983772
a brown and a black dog are wearing collars and playing with each other .,a black dog is having a toy bone .,neutral,0.0509876,0.00547143
an indian woman dressed in blue and purple cooks something over an open fire .,a girl is standing next to a campfire factory .,contradiction,0.611642,0.115164
a football player in a blue jersey being tackled from behind by an opponent in a white jersey .,the players are playing a game .,neutral,0.421563,0.430234
"a man speaks at a couple 's wedding , as they smile at him .",the man is visiting a lady .,entailment,0.239347,0.0199434
a woman describes what the stack of files is for .,a woman is dancing by the table .,contradiction,0.298209,0.999421
a blue train collides with a small car on the tracks .,the train is being bright by a train .,entailment,0.0932082,0.495535
a crowd gathers around to listen to a man wearing colonial-era clothes .,the man is indoors .,contradiction,0.886105,0.71765
a man is wake over the water and is flying in the air .,the man is sightseeing a small hole in the air .,neutral,0.227026,0.25328
there is a train accident and the medical team is there to help with the victims while spectators look on .,the people are moving to each other .,entailment,0.344922,0.786615
a young girl is hoping from stone to stone in her bare feet .,the quick is up and green,neutral,0.449907,0.458796
many people stand in a line while a person in white talks on a megaphone .,the people are holding signs .,entailment,0.613407,0.663839
a man in a blue and orange suit is cleaning by a garage with graffiti on it .,the man is washing the windows with graffiti .,entailment,0.443851,0.745798
a man in a straw hat is cutting coconuts on a tree stump .,a man is parking toys for lunch .,neutral,0.280346,0.548158
"three chefs , wearing white hats and black aprons , are preparing food in a crowded kitchen .",the cooks are chatting .,contradiction,0.419263,0.0964886
a white dog runs along the beach 's shore .,a dog is chasing a duck over the beach,neutral,0.693933,0.995128
a man is smiling and holding a sign .,the man is holding a sign .,entailment,0.399548,0.975885
a tennis player hitting the ball,a rollerblader player jumps in the air .,contradiction,0.336214,0.142672
a girl in pink is on the shoulders of a mustached man .,a girl is waving an elderly man .,entailment,0.183366,0.0543438
people are gathered around for an occasion .,lots of people celebrating the day,contradiction,0.336765,0.0205122
the bus is gleaming,the bus is on a road .,entailment,0.346362,0.176407
"a man wearing a blue shirt , blue cap , and jeans is washing a window while hanging from a rope .",a man is wearing `` clothes .,contradiction,0.194657,0.0611791
people are running from a fire .,a group of people are outside .,entailment,0.515964,0.857082
a woman in a pink sweater cleaning a dining table .,a woman is cleaning up a box .,contradiction,0.392065,0.453776
two dogs play in the grass .,the dogs are sitting on a couch .,contradiction,0.249342,0.999991
male players wearing red and blue striped jerseys with yellow numbers hug each other .,the people are wearing grey suits .,entailment,0.314894,0.0738859
a man wearing a white tee-shirt is bent over on a mountainside .,the man is helping one something around .,entailment,0.0612582,0.303123
two people are eating barbecue ribs at night .,people are returning some meal cake .,neutral,0.407173,0.168753
men dressed in military garb practice their rounds .,men in white are boxing .,contradiction,0.77123,0.984276
a boy at a skate park wearing a blue helmet inline skates on a small railing .,a boy is learning how to flip on a basketball match .,entailment,0.147369,0.00150363
"five musicians hold violins while looking up into the camera , which is directly overhead .",three people are playing drums .,entailment,0.591071,0.00237199
two girls playing inside a jumper house .,"one of two girls , are playing basketball outside .",neutral,0.113195,0.294245
a woman in a blue dress holds a cane .,a man is dancing in the night,contradiction,0.47227,0.999653
kids at a water park on steps .,the babies are inside a water park .,entailment,0.202939,0.0803359
four happy people sitting in chairs .,four people are sitting outside in a store .,neutral,0.200857,0.835969
a man playing tennis in the dirt .,"a man is dancing in the street ,",contradiction,0.293769,0.995834
looking down on someone climbing a cliff over water .,the man is out on the couch .,contradiction,0.234389,0.99976
"three women and a child looking at something in the water , a man is next to the floating object .",the woman and child are outdoors .,entailment,0.377171,0.937558
a blond girl holds a small plastic doll .,a little girl is running away from her child .,contradiction,0.233587,0.987945
a person lays down on the street with his shoes off .,a person is walked on the street,entailment,0.472355,0.301663
person canoes in lake .,a large surfer is loading out of the lake he they missed,neutral,0.841466,0.102579
"a man beginning his leap off cliff , into water , with others watching .",a man is the enjoy creek head,neutral,0.543346,0.988012
a young man hitting a ball with a bat .,"there is a batter of sharks , .",contradiction,0.583845,0.879573
a bicyclist in a helmet and a man in a business suit both talk on cellphones near a fountain .,the martial couple are riding a snowboard .,contradiction,0.266072,0.941393
"a group of teenage girls , dressed in their red school uniforms , holding their bookbags and walking down a busy street .",a group of kids are crossing their hands .,entailment,0.117489,0.861915
several people riding motorcycles are driving down the road .,group on a vehicle on track track .,entailment,0.633835,0.65993
a woman wearing a blue winter jacket crosscountry skies with a small pine tree dragging behind her .,the woman is carrying a tennis ball .,neutral,0.212708,0.282202
a man and woman walk down the street together .,a man and woman are walking outdoors .,entailment,0.320339,0.991928
