a child on the ground crying outside with its parents .,a child is teaching his child .,B,a child is teaching his child .,B,1,0.353192,0.728644,1,1
toddlers are in the room with toys .,the teenagers are learning to learn art .,B,the teenagers are learning to learn art .,B,1,0.349027,0.588127,1,1
a boy is playing .,the boy is playing at a game .,B,the boy is playing at a game .,B,1,0.348927,0.963764,1,1
the mother is dancing in the park .,a mom and son enjoying a sunny day,A,the mother is dancing in the park .,A,1,0.346007,0.735894,1,1
a lady is carrying a skillet bar .,a person with pants,B,a lady is carrying a skillet bar .,A,0,0.315166,0.941444,1,0
the race is out on the street .,the crowd is restless .,B,the race is out on the street .,A,0,0.314299,0.57648,1,0
a man has a blue cloth on .,the man fixes the wooden fence .,A,a man has a blue cloth on .,A,1,0.304283,0.491749,1,1
two men sit on a bench with their backs together .,a guy is jumping on a couch .,B,a guy is jumping on a couch .,B,1,0.30396,0.53026,1,1
the kids are going to play a song .,there are kids look for a band .,B,there are kids look for a band .,B,1,0.302983,0.247313,0,0
a woman is knitting dress .,a woman puts on makeup .,A,a woman is knitting dress .,A,1,0.301577,0.734606,1,1
the men are not wearing any clothes .,the man and woman are standing in the shower .,A,the men are not wearing any clothes .,A,1,0.299792,0.512544,1,1
the guy is taking a shirt of a magazine .,a gentleman in a striped shirt gesturing,A,the guy is taking a shirt of a magazine .,A,1,0.298012,0.881862,1,1
a woman is watching a movie in the sky .,some people who are visible are not african american .,A,a woman is watching a movie in the sky .,A,1,0.291422,0.607269,1,1
the woman looks at the tennis ball .,the woman is near the volleyball .,B,the woman looks at the tennis ball .,A,0,0.2844,0.670113,1,0
the workers are working in a walmart .,a woman drives a limo .,A,the workers are working in a walmart .,A,1,0.28375,0.743274,1,1
this lady is waiting for her father .,the dark-haired woman is wearing leather and a wooden building .,B,the dark-haired woman is wearing leather and a wooden building .,B,1,0.275546,0.742821,1,1
the hiker is outside .,the hiker is showing something to the crowd .,A,the hiker is showing something to the crowd .,B,0,0.268354,0.861897,1,0
the people are adults .,there is a group of children walk past dirt .,A,there is a group of children walk past dirt .,B,0,0.255124,0.755113,1,0
male nun is on the moon .,the older man is eating a sandwich .,A,the older man is eating a sandwich .,B,0,0.24994,0.737712,1,0
a woman is laying down with her hands .,a woman is walking down the street,A,a woman is laying down with her hands .,A,1,0.244229,0.562654,1,1
they are talking about setting up things for the next show .,the men are around a fire .,B,the men are around a fire .,B,1,0.242274,0.953747,1,1
two people are all in taking pictures,2 people looking at one another,A,two people are all in taking pictures,A,1,0.235996,0.364501,1,1
the people are enjoying a time .,people are walking up a mountain .,A,the people are enjoying a time .,A,1,0.227133,0.420694,1,1
the women are making candles .,a group of people .,B,the women are making candles .,A,0,0.224427,0.963739,1,0
the lady is standing,a crowd of people are looking at flowers .,A,a crowd of people are looking at flowers .,B,0,0.186278,0.956888,1,0
the man with a briefcase is looking at the lights .,the man is on a sidewalk .,B,the man with a briefcase is looking at the lights .,A,0,0.184222,0.579028,1,0
the man is holding a red purple front .,the man is swimming at the beach .,A,the man is holding a red purple front .,A,1,0.171859,0.57931,1,1
a man takes an assembly for food .,a dog jumping through hoops .,A,a man takes an assembly for food .,A,1,0.161857,0.897817,1,1
a women taking a nap at the lake .,a man is playing baseball at the beach .,B,a man is playing baseball at the beach .,B,1,0.158579,0.729967,1,1
the people are discussing a sports game .,a small group of people head to their cars .,A,the people are discussing a sports game .,A,1,0.11988,0.625761,1,1
a man is floating a bike on a bike .,he just did a trick on his bike .,A,a man is floating a bike on a bike .,A,1,0.0698321,0.75355,1,1
,,,,,0.765625,,,0.875,0.703125
